Date,Open,High,Low,Close,Adj Close,Volume
1/3/2014,900,900,870,890,781.820618,3152500
1/6/2014,890,890,845,845,742.290344,3026200
1/7/2014,850,860,835,855,751.074951,3322300
1/8/2014,860,870,855,870,764.251587,2771600
1/9/2014,860,870,855,860,755.467102,3614400
1/10/2014,865,870,855,865,759.859375,10018100
1/13/2014,870,920,865,915,803.781799,19416200
1/15/2014,925,935,915,930,816.958618,32201200
1/16/2014,935,950,925,930,816.958618,11093500
1/17/2014,930,940,920,935,821.350891,4964100
1/20/2014,935,950,920,950,834.527588,10223900
1/21/2014,950,970,945,965,847.704407,24843000
1/22/2014,970,970,935,940,825.743103,10665700
1/23/2014,940,950,930,930,816.958618,5054000
1/24/2014,925,935,915,925,812.566345,2929700
1/27/2014,880,900,875,900,790.605164,13671500
1/28/2014,890,905,890,900,790.605164,3248700
1/29/2014,900,915,900,910,799.389771,6645700
1/30/2014,900,910,890,900,790.605164,11420500
2/3/2014,900,920,900,910,799.389771,4926600
2/4/2014,900,910,890,900,790.605164,4202100
2/5/2014,905,915,900,905,794.997437,4315100
2/6/2014,915,975,915,970,852.096558,98526200
2/7/2014,970,1040,970,1030,904.803711,138051600
2/10/2014,1035,1065,995,1000,878.450195,83274800
2/11/2014,1010,1030,1000,1010,887.23468,33253000
2/12/2014,1015,1035,1010,1030,904.803711,102081200
2/13/2014,1030,1035,1010,1020,896.019104,107019700
2/14/2014,1025,1055,1020,1040,913.588135,122029700
2/17/2014,1050,1125,1040,1110,975.07959,154374000
2/18/2014,1110,1135,1090,1115,979.471802,72400500
2/19/2014,1115,1120,1095,1100,966.295166,53449600
2/20/2014,1100,1110,1080,1105,970.6875,45571200
2/21/2014,1110,1140,1105,1130,992.648621,95369700
2/24/2014,1120,1145,1120,1130,992.648621,39533900
2/25/2014,1130,1140,1080,1080,948.726196,60212400
2/26/2014,1065,1105,1045,1095,961.902832,41452500
2/27/2014,1095,1110,1075,1080,948.726196,45925900
2/28/2014,1090,1090,1070,1080,948.726196,34486000
3/3/2014,1075,1100,1060,1100,966.295166,49378200
3/4/2014,1075,1115,1015,1105,970.6875,60523200
3/5/2014,1115,1125,1105,1110,975.07959,52138100
3/6/2014,1090,1180,1090,1175,1032.178833,139860500
3/7/2014,1180,1195,1160,1195,1049.747925,56210500
3/10/2014,1195,1210,1165,1165,1023.394348,49140700
3/11/2014,1165,1200,1165,1200,1054.140137,28231900
3/12/2014,1195,1225,1180,1210,1062.924805,79057600
3/13/2014,1195,1245,1195,1235,1084.885864,38963000
3/14/2014,1230,1325,1215,1300,1141.985229,132947500
3/17/2014,1300,1335,1265,1295,1137.593018,98511000
3/18/2014,1305,1355,1300,1325,1163.946533,80818200
3/19/2014,1325,1340,1280,1300,1176.990723,50353200
3/20/2014,1300,1300,1205,1230,1113.614136,77122200
3/21/2014,1240,1260,1215,1255,1136.248535,26939000
3/24/2014,1240,1260,1240,1255,1136.248535,15483400
3/25/2014,1250,1255,1240,1240,1122.667969,23101600
3/26/2014,1240,1270,1240,1265,1145.302368,20115700
3/27/2014,1255,1275,1250,1275,1154.356201,10071800
3/28/2014,1280,1295,1265,1285,1163.409912,22017900
4/1/2014,1290,1320,1290,1315,1190.571289,40152500
4/2/2014,1320,1330,1300,1310,1186.044312,23783700
4/3/2014,1320,1350,1290,1295,1172.463745,20535600
4/4/2014,1290,1300,1225,1245,1127.194702,68242500
4/7/2014,1245,1335,1240,1335,1208.678711,102245500
4/8/2014,1335,1350,1315,1335,1208.678711,39541700
4/10/2014,1270,1270,1195,1220,1104.560181,117614500
4/11/2014,1200,1255,1195,1235,1118.140869,75071700
4/14/2014,1235,1260,1235,1250,1131.721436,29664200
4/15/2014,1255,1280,1255,1270,1149.829224,29434000
4/16/2014,1305,1525,1300,1405,1272.055176,139678800
4/17/2014,1415,1420,1345,1365,1235.840088,81466000
4/21/2014,1360,1380,1300,1320,1195.098145,112653500
4/22/2014,1325,1335,1305,1315,1190.571289,55233400
4/23/2014,1315,1360,1290,1305,1181.517334,102952100
4/24/2014,1290,1290,1170,1210,1095.506714,151825000
4/25/2014,1215,1235,1215,1230,1113.614136,38916500
4/28/2014,1225,1230,1165,1175,1063.818359,40258300
4/29/2014,1175,1190,1140,1155,1045.710938,54548200
4/30/2014,1160,1185,1140,1155,1045.710938,82681000
5/2/2014,1155,1170,1115,1115,1009.495728,38319900
5/5/2014,1130,1130,1080,1110,1004.968811,54824100
5/6/2014,1100,1115,1080,1080,977.807556,28160200
5/7/2014,1080,1105,1070,1095,991.388123,64456900
5/8/2014,1100,1120,1100,1120,1014.022644,45646100
5/9/2014,1125,1140,1120,1125,1018.549561,37181500
5/12/2014,1135,1145,1125,1130,1023.076477,48850100
5/13/2014,1135,1140,1090,1090,986.861328,64455100
5/14/2014,1090,1115,1080,1105,1000.442017,62580700
5/16/2014,1095,1155,1095,1145,1036.656982,89306200
5/19/2014,1125,1175,1115,1125,1018.549561,82451600
5/20/2014,1125,1155,1080,1125,1018.549561,56895000
5/21/2014,1105,1125,1100,1105,1000.442017,34000700
5/22/2014,1115,1125,1095,1115,1009.495728,64125200
5/23/2014,1100,1125,1095,1100,995.9151,14165700
5/26/2014,1080,1105,1080,1080,977.807556,18734800
5/28/2014,1115,1115,1080,1115,1009.495728,25037000
5/30/2014,1090,1120,1085,1090,986.861328,22288100
6/2/2014,1050,1090,1030,1050,950.646362,46842200
6/3/2014,1055,1060,1040,1055,955.173096,10871200
6/4/2014,1035,1065,1035,1035,937.065491,31387400
6/5/2014,1040,1040,1020,1025,928.01178,16300400
6/6/2014,1010,1040,1005,1010,914.431091,19607300
6/9/2014,990,1020,980,990,896.323547,41791700
6/10/2014,1015,1030,990,1015,918.958008,43770100
6/11/2014,1050,1055,1015,1050,950.646362,44555600
6/12/2014,1040,1050,1030,1040,941.592407,19782300
6/13/2014,1010,1040,1010,1010,914.431091,18955600
6/16/2014,1020,1025,1005,1020,923.484863,19798800
6/17/2014,1030,1040,1015,1030,932.538696,22466800
